,Unnamed: 0,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers,compound,Sentiment,old_score,followers_n,engagement,sentiment_score
61,61,Indian-Institute-of-Technology-Bombay-IITB,How is college life in IIT kharagpur?,92,10,92/10,Yes,Followed,2020-07-19,/How-is-college-life-in-IIT-kharagpur,"Well, I am sharing my IIT days experience, thoughts and reality with all Quora people for the first time. I think every pure science student must have a dream like this. “One day I will become a student of the most popular IIT’s which are one of the best institutions in India (as well as in abroad!). And then, I can say proudly to my neighbors or relatives that ‘I am IITian’.” Yes, you guess correctly. I had also a dream like this. I am not interested in engineering. So the only way I can enter into IIT is through JAM ( if you neglect M.tech and Ph.D.). So I tried to clear JAM and successfully I  Continue ReadingWell, I am sharing my IIT days experience, thoughts and reality with all Quora people for the first time. I think every pure science student must have a dream like this. “One day I will become a student of the most popular IIT’s which are one of the best institutions in India (as well as in abroad!). And then, I can say proudly to my neighbors or relatives that ‘I am IITian’.” Yes, you guess correctly. I had also a dream like this. I am not interested in engineering. So the only way I can enter into IIT is through JAM ( if you neglect M.tech and Ph.D.). So I tried to clear JAM and successfully I did. By the way, after the admission process was over, in one fine morning I came IIT Kharagpur. I got a room in Lal Bahadur Shastri Hall of Residence (LBS) with two partners (of course not life partner). A new journey starts! Frankly speaking, I am one who came from a village where the literacy rate is not good. When I said, I study in IIT, usually, people in our village think that it is ITI. “ Ooo ma, tai! Aamar chhele ei to ager bochor ITI te vorti holo. Kharagpur gele keno ? Ekhane chance hoyni?” (Oh, really! My son also took admission in ITI in the previous year. Why did you go kharagpur? Didn’t you get a chance to admit here in our local ITI?”. This funny thing happens not only with me, I guess. Everyday you have to wake up early if you want to attend the class at 8 am. Then take breakfast as fast as possible and start cycling to go Nalanda Classroom Complex (which is 2.2 km away from my hostel). At 1 pm, go to your hostel, have lunch and quick bath and then again go to the main academic building ( 1 km from my hostel) for lab class. This routine continues from Monday to Friday if you are a very serious student!! Here academic pressure is so high that even you can’t copy the assignments in time!! If you study regularly ( which is possible theoretically !) then it is fine. Since you are not a serious student ( like me) then you can’t imagine how fast mid-sem will start and end. After one or two weeks you can really feel, “what the hell IIT is!”. If you are not ready for the pressure then your CGPA will not also be ready for you. Apart from all the pressures, assignments, class tests, exams there are several things which can bring happiness in your mind. You have to just find out the ways. IIT Kgp campus is extremely large and very beautiful. If you love cycling then KGP is the best option for you. Especially if you try to cycling at night with some of your friends, you will never forget those experiences. If you love sports, then “ Jnan Ghosh” and “Tata” are always ready to serve you. Not only these two, but your hostel playgrounds are also there. There are grand Gymkhana and swimming pool as well. If you have a girlfriend/boyfriend you can enjoy in the park without any tension whether it is day or night. In every Friday, we go to “Netaji auditorium” to watch movies. Whole week’s frustration will vanish within just two hours. Except for exam time we never miss that. Another best thing is the “illumination” in Diwali. If you are not KGPian then you will never understand the “illumination”. It is an emotion for all students. Instead, I will show you some pictures.    Another important entertainment is Hall Day celebration. Every hostel has a particular celebration date. At that time everyone is allowed in the hostel. You can invite your sir, girlfriend/boyfriend, friend to your hostel on this particular date. You can even dance with a DJ. In the end, I want to mention one more thing, Dc++, KGP’s own creation. Unlimited storage of videos along with software and PDFs. If you know what I mean by “videos”!! How I can complete my answer without mentioning the most important thing!! IIT Kharagpur SPRING FEST ! which is one of the largest college fests in India. You never forget this 3-day entertainment which is held every year in January. The countless event, prizes, music, rock, dance, DJ night - so many things are there. You will get a lot of refreshment at this time. Have a look at the pictures( credit goes to Facebook).    Overall life at IITKGP is extremely good except academic pressure. You have to explore the campus. You don’t need to be a serious student all the time!! All the best for all the people who are thinking to come here. You are always welcome. P.S.- If I forget to write any important things please mention, I will edit my answer. Sorry for my bad English!! Thanks. ",0.9982,Positive,5,1.0,1,5
62,62,Indian-Institute-of-Technology-Bombay-IITB,How is college life in IIT kharagpur?,92,10,92/10,Yes,Followed,2020-07-19,/How-is-college-life-in-IIT-kharagpur,"Founded in 1950, IIT Kharagpur is the first IIT to be set up in the country and is recognized as an institute of National Importance by the Government of India.  NIRF Ranking 2019, IIT Kharagpur enjoys the 4th rank in the Engineering. Oldest IIT in the Country Stepping into the IIT Kharagpur campus, you will realize nothing in your life would now be of the same scale as before. Life at IIT Kharagpur is larger than life, thanks to its 2200 acre campus, the aggressive competitive spirit among students and the vast pool of Technical programmes. Thousands of kilometres away from home, IIT Kharagpur is Continue ReadingFounded in 1950, IIT Kharagpur is the first IIT to be set up in the country and is recognized as an institute of National Importance by the Government of India.  NIRF Ranking 2019, IIT Kharagpur enjoys the 4th rank in the Engineering. Oldest IIT in the Country Stepping into the IIT Kharagpur campus, you will realize nothing in your life would now be of the same scale as before. Life at IIT Kharagpur is larger than life, thanks to its 2200 acre campus, the aggressive competitive spirit among students and the vast pool of Technical programmes. Thousands of kilometres away from home, IIT Kharagpur is your home for the next four years. Life at IIT Kharagpur may seem daunting to many of you, but after a while, you get used to seeing the strange face that becomes familiar with time. Though IIT Kharagpur is the oldest IIT in the country, it has enabled itself to stay ahead of time and meet the expectations of aspirants. Every day at IIT Kharagpur is a new day with all sorts of lectures, technical events, seminars, guest lectures and activities. Few months into the course, you will feel you have seen it all that is when greater experiences and surprises await you down the line. Student Life at IIT-KGP has two anchors - Hall and Gymkhana The institute is fully residential. Students are accommodated in 21 Halls of Residence and the staff is provided with quarters. Accommodation for visitors is arranged in the Technology Guest House, CEC Guest House, Alumni Guest House or CTS Visitors Hall, or if need arises, in students' Hall of Residence.  Hall Culture Halls at Kharagpur: A place to live, nurture, grow and excelBelonging to one’s hall, often referred to as Hall Tempo, is soon inherited within each KGPian, and henceforth the hall becomes an integral part of one’s identityBroad spectrum of Inter Hall activities canvassed with Intra Hall activitiesHall Day A culture quite unique to IIT KharagpurTheme based celebration of each hall of residence towards the end of an academic yearCelebration of sorts with people inviting their friends to their room and rejoicing the year well spentAll the Halls of Residence and Guest houses have regular catering facilities. Other eating places are Sahara, Dreamland, Vegies, Super-Duper, Tikka, Billoo's Restaurant etc. Some joints located within the Institute premises serve tea, coffee, soft drinks and light snacks. Technology Students Gymkhana Nerve Centre of all extra-curricular and co-curricular activities on campusIncepted in 1952Managed by the students, for the students, under guidance & active participation of faculty and staff members Students Activities Sports Inter-IIT, Athletics, Football, Aquatics, Hockey, Badminton, Lawn Tennis, Basketball, Table Tennis, Chess, Bridge, Water Polo, Cricket, Weightlifting, Volleyball.  Social & Cultural Dramatics, Music, Dance, Debate, Illumination, Rangoli, Spring Fest Technology Kshitij, Knowledge Cup (Tech Quiz, Biz Quiz, Math Olympiad), Innovation Cup (Hardware Modeling, Ad Design, Product Design), Application Cup (Case Study, Chemical Innovation, Open Soft) Community Service Weekly teaching, Scholarship and study support, Support to women self-help group, Medical camp, Backward caste certificate camp, Awareness campaigns, Cloth distribution, Village road-building. Diwali Celebrations Celebrating Diwali is a part of the students life at IIT-KGP. Students prepare for over a month for a competition which takes place on the day of Diwali for best Illumination (lighting lamps - Diyas) and Rangoli. This is an inter-hall competition and prize is awarded by Technology Students Gymkhana every year on the same day. Students exhibit extraordinary skills in conceptualizing, designing, execution and apllication of technological methods in this competition.  Library The Central Library offers about 300,000 volumes in an open shelf system on different fields of science and technology, humanities and social sciences. The library subscribes to about 1400 periodicals. The library system is fully computerized and users can access foreign university libraries through wide-area network facilities. Computer Network The backbone of lIT Kharagpur network is based on gigabit fibre optic technology. All the Departmental LANs are connected to the gigabit fibre optic backbone as separate VLANs. Three links are in use to provide email and Internet facilities. All laboratories, faculty and officers chambers, All rooms in halls of residence are provided with Internet connectivity. Academics Academic progress of students is given the utmost importance. In the first year students are taught almost every basic subject from all the departments. Also students are allowed to take up additional courses which are of their interest and not taught by their respective departments. Students are encouraged to undertake projects supervised by their professors. Some are even sent to foreign training to gain international exposure. Like everything in IIT-KGP , the academic syllabus too is dramatically huge. The academic competition is intense and would always keep you on your toes. Every day was a new adventure with all sorts of workshops, seminars, guest lectures and even marathons going on every other day. Hope it will help, thanks.. ",0.9989,Positive,5,1.0,1,5
63,63,Indian-Institute-of-Technology-Bombay-IITB,"Does IITB set a different cutoff for EE and ECE students applying in the same specialization? As I checked their past cut-off from their website, they didn't mention any separate scores for EE or ECE.",1,2,1/2,No,Followed,2020-07-08,/Does-IITB-set-a-different-cutoff-for-EE-and-ECE-students-applying-in-the-same-specialization-As-I-checked-their-past-cut-off-from-their-website-they-didnt-mention-any-separate-scores-for-EE-or-ECE,"IIT Bombay, as of last year, does not offer a separate ECE specialisation, it only offers an EE specialisation. If you are interested in ECE in particular, then you may want to consider joining an IIT which offers a separate ECE specialisation. If you want to choose ECE/EE because you are interested in CS but can’t get a CS specialisation in a university of your choice for whatever reason, you may consider joining some other university where you are getting a CS specialisation. This is only if you are really interested in CS. Else, if you are interested in just joining a good IIT with a good bran Continue ReadingIIT Bombay, as of last year, does not offer a separate ECE specialisation, it only offers an EE specialisation. If you are interested in ECE in particular, then you may want to consider joining an IIT which offers a separate ECE specialisation. If you want to choose ECE/EE because you are interested in CS but can’t get a CS specialisation in a university of your choice for whatever reason, you may consider joining some other university where you are getting a CS specialisation. This is only if you are really interested in CS. Else, if you are interested in just joining a good IIT with a good branch, then you should first thoroughly research about the various branches and join one you can stick with for the rest of your career. Looking only at placement salaries and choosing a branch based on that is a novice mistake, one which you may regret later, because once you get good enough job experience, no one asks from where you have completed your degree. They only look at how long you’ve worked, what is your skillset, and what you can offer them so that their profit is maximised and they earn as much money as possible. So make sure you really know which branch you like the most after thoroughly researching about it. You can watch this guy’s videos where he explains exactly what various disciplines entail to help you make a fully educated choice, not just one based solely on your AIR: Zach Star Cheers! ",0.9959,Positive,5,0.010869565217391304,0,5
64,64,Indian-Institute-of-Technology-Bombay-IITB,"Does IITB set a different cutoff for EE and ECE students applying in the same specialization? As I checked their past cut-off from their website, they didn't mention any separate scores for EE or ECE.",1,2,1/2,No,Followed,2020-07-08,/Does-IITB-set-a-different-cutoff-for-EE-and-ECE-students-applying-in-the-same-specialization-As-I-checked-their-past-cut-off-from-their-website-they-didnt-mention-any-separate-scores-for-EE-or-ECE,A2A there will be a gate “score” cut off which applies to both the branches. ,-0.2732,Negative,2,0.010869565217391304,0,2
65,65,Indian-Institute-of-Technology-Bombay-IITB,How much marks needed to get IIT Bombay Mtech in Metallurgy and materials engineering branch in Gate?,3,1,3/1,No,Followed,2020-07-09,/How-much-marks-needed-to-get-IIT-Bombay-Mtech-in-Metallurgy-and-materials-engineering-branch-in-Gate,I have mentioned the category wise score of the last candidate that got admitted into IIT Bombay in the past 3 years which will give you the most approximate idea of the cutoff score. Last candidate score for the year 2017–18: Sequence: Gen | OBC | SC | ST | PH  Last candidate score for the year 2018–19:  Last candidate score for the year 2019–20: Sequence: Gen | Gen(EWS) | OBC | SC | ST | PH  I hope this helps in case you were facing any difficulties in gauging your chances of getting an admission from bombay. ,0.8402,Positive,5,0.03260869565217391,1,5
66,66,Indian-Institute-of-Technology-Bombay-IITB,"Which is better, IIT Bombay for a BS in maths or IIIT Hyderabad for CSE?",2,1,2/1,No,Followed,2020-07-08,/Which-is-better-IIT-Bombay-for-a-BS-in-maths-or-IIIT-Hyderabad-for-CSE,"Well obviously IIIT HYDERABAD. It is the mecca of coders and is one of the few colleges that I can say has better CSE branch than all the IITs ( yes even including IIT BOMBAY , or at the bare minimum it is equal to the level of IIT BOMBAY). If you are getting CSE at IIIT HYDERABAD then you shouldn't even think twice and join it straightaway. Just look at their average (or median whichever is available) package and I think that will justify my answer. Edit- many people have different dreams about their future and just want the IIT tag. If u r one of those then you can go for BS in maths from IIT BOMBAY. ",0.8979,Positive,5,0.021739130434782608,1,5
67,67,Indian-Institute-of-Technology-Bombay-IITB,Was Sushant's house really haunted?,4,2,4/2,No,Followed,2020-07-08,/Was-Sushants-house-really-haunted,"I have seen ghosts and they can completely ruin your life. It's complete mind programming. Under vodoo spell I met complete duplicate people, they can talk and I have touched ghosts. They look like human. Vodoo exists, and ppl who know do this to loot and fulfill their endless jealousy and hatred. These ghosts are very very intelligent and have very good memory. They are like very shrewd cruel criminals. They can make satirical jokes. Human can become very very disturbed, lose his mental peace, work and commit suicide. They have parallel world. Shaitani is played on human beings to completely  Continue ReadingI have seen ghosts and they can completely ruin your life. It's complete mind programming. Under vodoo spell I met complete duplicate people, they can talk and I have touched ghosts. They look like human. Vodoo exists, and ppl who know do this to loot and fulfill their endless jealousy and hatred. These ghosts are very very intelligent and have very good memory. They are like very shrewd cruel criminals. They can make satirical jokes. Human can become very very disturbed, lose his mental peace, work and commit suicide. They have parallel world. Shaitani is played on human beings to completely ruin a person life, his loved ones life to death. These creatures are very haunty and don't have anything to do with anyone sins. Vodoo technology is for dictatorship. How a hen is cut and again it becomes alive. Police should have a department dedicated to such research and tell everything to public. They exist and these creatures want us to be fool. They have developed such technology to remain in power. In America ppl shoot because the start seeing such creatures everywhere. I doubt that such creatures are everywhere and they obey only to their masters. They can fly. Many people have spirit experience in their life. It's well programmed cruel game and not just brain chemistry imbalance. These creatures run all wrong business and they mix with human to make them agent in their crimes. Jinns exist and there is paranomal world. Many magicians are jinns themselves. ",-0.9845,Negative,1,0.043478260869565216,1,1
68,68,Indian-Institute-of-Technology-Bombay-IITB,Was Sushant's house really haunted?,4,2,4/2,No,Followed,2020-07-08,/Was-Sushants-house-really-haunted,"Sushant Singh Rajput's rumoured girlfriend Rhea Chakraborty was summoned by the cops yesterday. She was interrogated for close to nine hours. The lady made a number of revelations and some of them are quite startling. As per entertainment portal, Peeping Moon, Rhea Chakraborty said that Sushant Singh Rajput's former Bandra home was haunted. ""That’s what I felt and even Sushant was disturbed while we were staying there,"" she told the cops. Follow my space for more info Bollywood Secrets about this ",-0.5584,Negative,2,0.043478260869565216,1,1
69,69,Indian-Institute-of-Technology-Bombay-IITB,How does the IITB girls hostel look like?,3,1,3/1,No,Followed,2020-07-08,/How-does-the-IITB-girls-hostel-look-like,Just like a normal Hostel !!!!!! Cleanliness and Hygiene and security is best in every hostel of IIT Bombay. ,0.8825,Positive,5,0.03260869565217391,1,5
70,70,Indian-Institute-of-Technology-Bombay-IITB,Where can I sell my brand new study material for IIT JEE advance?,2,1,2/1,No,Followed,2020-07-07,/Where-can-I-sell-my-brand-new-study-material-for-IIT-JEE-advance,"There are many websites and apps where you can sell your books. Or you can ask in Facebook books, as many students use facebook to ask where they can get it from. I am sure you will find someone who’s genuinely interested in such groups. I won’t recommend to go out and sell in market, it is not safe these days. ",0.6242,Positive,5,0.021739130434782608,1,5
71,71,Indian-Institute-of-Technology-Bombay-IITB,It is heard that IITB has more placements compared to IISc for an MTech in CS? What do you say about it?,6,1,6/1,Yes,Followed,2020-07-08,/It-is-heard-that-IITB-has-more-placements-compared-to-IISc-for-an-MTech-in-CS-What-do-you-say-about-it,"I mean thats a fact nothing much to say about it. IISc is meant for research, nothing in india can beat IITs in terms of corporate ties, the upper management is filled with IITians nd they suck in their junior's into their firm ",-0.4404,Negative,2,0.06521739130434782,1,1
72,72,Indian-Institute-of-Technology-Bombay-IITB,What is the IIT Bombay GATE paper preparation style for ECE in 2021?,8,1,8/1,Yes,Followed,2020-07-13,/What-is-the-IIT-Bombay-GATE-paper-preparation-style-for-ECE-in-2021,"For GATE ECE, irrespective of which IIT organize, One should focus more on subject like Signal & System (with basic of DSP particularly digital filter), Communication system, Analog Electronics (Focus more on MOSFET), Digital Electronics and Electromagnetic Theory. For other subjects even ur basics are clear and u have remembered all important formulae then also u can perform fairly good. So, prepare hard and do well in exam. Don’t think much about exam. Just focus on solving more and more questions. All the best !! ",0.9513,Positive,5,0.08695652173913043,1,5
73,73,Indian-Institute-of-Technology-Bombay-IITB,How are the placements for MTech CSE at IIT Bombay and IIT Madras? Which companies hire MTech CSE students at these IITs?,14,1,14/1,Yes,Followed,2020-07-08,/How-are-the-placements-for-MTech-CSE-at-IIT-Bombay-and-IIT-Madras-Which-companies-hire-MTech-CSE-students-at-these-IITs,"One of the craziest questions, I have ever seen on Quora but still, I will try to answer it. Just focus on your preparation for GATE. Once you selected in any of the institute mentioned in the question, you need not worry about the placements. Almost all the top organization of the world comes there for the placements. So placement will be only a cakewalk for you that too in some of the top organizations with at least 15+ LPA package. Apart from placements, you will feel some of the unique things, that a normal college student can never feel: You will be studying in India’s top institute (think about a scenario, you are wearing IITB or IITM CSE t-shirt in your hometown).You will be studying with some of the top minds of the country, don’t forget the fact that the closing rank of IITB is 60–65 for GN category for their b.tech program.You will get a chance to feel the world-class infrastructure.IITB has a totally different swag.Professors will be highly qualified, and their expectations will be very high.Last but not the least, I can bet, you will not forget this unique experience throughout your life.So again I will say, don’t think about placements, just focus on your preparation and enter into the institute. Placements are really-really good, I can not emphasize more on this. Best of Luck for Your Journey. Thanks Karan Kumar Rajput ",0.9888,Positive,5,0.15217391304347827,1,5
74,74,Indian-Institute-of-Technology-Bombay-IITB,"In the IIT JAM 2020 brochure, it is written that maths is not required at 10+2 for admission in M. Sc biotechnology at IITB. But some sites say that IITB requires maths. So which is true?",0,1,0/1,No,Requested,2020-07-07,/In-the-IIT-JAM-2020-brochure-it-is-written-that-maths-is-not-required-at-10-2-for-admission-in-M-Sc-biotechnology-at-IITB-But-some-sites-say-that-IITB-requires-maths-So-which-is-true,You are still eligible to apply for the exam even if you don't have Maths in 10+2. But there will be questions from Maths. Always follow the official site for authentic information regarding anything. ,0.0,Neutral,3,0.0,0,3
75,75,Indian-Institute-of-Technology-Bombay-IITB,How many PR agencies can you name in Maharashtra?,1,1,1/1,No,Followed,2020-07-07,/How-many-PR-agencies-can-you-name-in-Maharashtra,I will name a few which have Pan India Presence and not only Maharashtra: 1.) Genesis Burson-Marsteller. 2.) Ad Factors 3.) Publicis 4.) Broadnection 5.) Waggener Edstrom 6.) MSL 7.) Ogilvy ,0.0,Neutral,3,0.010869565217391304,0,3
76,76,Indian-Institute-of-Technology-Bombay-IITB,"Will FLP at IIT Kanpur happen this year? If yes, when?",1,1,1/1,No,Followed,2020-07-07,/Will-FLP-at-IIT-Kanpur-happen-this-year-If-yes-when,"Considering the prevailing situation, I don't think IITK may offer Flight Learning Programme this time. PS: Only a personal opinion, you are advised to check IITK website for more information ",0.0,Neutral,3,0.010869565217391304,0,3
77,77,Indian-Institute-of-Technology-Bombay-IITB,Iit Bombay solid state vs IIT Kanpur VLSI? Which one is best,3,1,3/1,No,Followed,2020-07-07,/Iit-Bombay-solid-state-vs-IIT-Kanpur-VLSI-Which-one-is-best,IIT Kanpur is the best place for Electronics department .As IIT Kanpur follow Russian pattern for engineering .So it is very valuable .there environment for strictness you will learn new things .So you should join IIT Kanpur . Placement is also decent . ,0.8687,Positive,5,0.03260869565217391,1,5
78,78,Indian-Institute-of-Technology-Bombay-IITB,Should I do a B.Tech in Astronautical Engineering from IIT Bombay or IIST to join ISRO?,3,1,3/1,No,Followed,2020-07-07,/Should-I-do-a-B-Tech-in-Astronautical-Engineering-from-IIT-Bombay-or-IIST-to-join-ISRO,"IIT Bombay offers B.Tech. in Aerospace Engineering and not in the Astronautical Engineering. As far as joining the ISRO, I guess there is reserved quota for B.Tech. students from IIST for jobs in ISRO (depending on your academic performance), so they have a slight edge over IITB guys. However, I have seen ISRO coming for placements at IITB as well. They recruit students from the Electrical and Mechanical department as their requirement for aerospace engineers is fulfilled from IIST. Also, if not through college, ISRO conducts the exam every year for recruiting scientist and engineers. So in a nutshell, your chances of joining ISRO depends on the preparation for the ISRO exam and interview (assuming you are not persuing bachelor's from IIST). As long you fulfil their requirement criteria, B.Tech. in aerospace engineering from IITB or anywhere else should not matter much. P.S. : Above answer is related explicitly to joining ISRO. All the statements made above are based on observations and I don't possess any data to back them. Thank you. ",0.7979,Positive,5,0.03260869565217391,1,5
79,79,Indian-Institute-of-Technology-Bombay-IITB,Which rank should I take in the JEE Mains to get a seat for aerospace engineering in IIST or IIT Bombay?,3,1,3/1,No,Followed,2020-07-06,/Which-rank-should-I-take-in-the-JEE-Mains-to-get-a-seat-for-aerospace-engineering-in-IIST-or-IIT-Bombay,opening and closing rank of 2019 iit bombay for aerospace engg OBC 1330 2727 EWS 180 -- General 2082 4550 SC 564 1025 ST 285 567 opening and closing rank of 2019 iist General 43.89% 34.17% OBC 47.78% 30.28% SC 33.89% 19.44% ST 14.44% 11.94% ,0.0,Neutral,3,0.03260869565217391,1,3
80,80,Indian-Institute-of-Technology-Bombay-IITB,What is the cutoff for the IT branch at IIT Bombay?,1,1,1/1,No,Followed,2020-07-05,/What-is-the-cutoff-for-the-IT-branch-at-IIT-Bombay,Your maximum capacity :) ,0.4588,Positive,4,0.010869565217391304,0,4
81,81,Indian-Institute-of-Technology-Bombay-IITB,What is the cutoff for a B.Tech in aerospace engineering in IIT Bombay through the JEE Mains?,3,1,3/1,No,Followed,2020-07-05,/What-is-the-cutoff-for-a-B-Tech-in-aerospace-engineering-in-IIT-Bombay-through-the-JEE-Mains,"Hi! Glad to see that you are willing to get admission into IIT Bombay for B.Tech in aerospace engineering. First of all, I want to clear one thing that one cannot get admission into IIT’s through JEE Main only. You must have to clear the cutoff of JEE Advanced of respective branch to get into IIT’s. The cutoff of JEE Advanced for IIT Bombay for B.Tech in aerospace engineering is: 2019 (Round 7)  Image Source: GOOGLE Upvote if helped you! ",0.9311,Positive,5,0.03260869565217391,1,5
82,82,Indian-Institute-of-Technology-Bombay-IITB,What should I prefer in IIT's hostel life or day scholar?,1,3,1/3,No,Followed,2020-07-05,/What-should-I-prefer-in-IITs-hostel-life-or-day-scholar,"I am the alumnus of IISc Bangalore, and let me share you one incident. When I was in second year, I volunteered (We got free T-Shirts) for the admission processes and I was helping the new students to get their work done. During the admission process I asked one student about his food preference so that I can suggest him to join appropriate mess. But the student was bit arrogant and he told me that why should I join hostel? I have a big house in Bangalore. I replied that if you want to use the resources then you should be in hostel. But he did not agree. Few days later, I went to C-Mess (I was in B Continue ReadingI am the alumnus of IISc Bangalore, and let me share you one incident. When I was in second year, I volunteered (We got free T-Shirts) for the admission processes and I was helping the new students to get their work done. During the admission process I asked one student about his food preference so that I can suggest him to join appropriate mess. But the student was bit arrogant and he told me that why should I join hostel? I have a big house in Bangalore. I replied that if you want to use the resources then you should be in hostel. But he did not agree. Few days later, I went to C-Mess (I was in B-Mess, but we could eat in other messes in the friends account as a guest, for which the friend had to pay), and I saw him there. I asked him, with whom you came? He told that he has joined the hostel. Within 10 days he understood the value of hostel. So my suggestion is that, in the colleges like IISc or IITs, where the labs are very very important and you need 24 hours access to the labs and to the departments, then you should definitely join the hostel. And here I told only regarding studies. There are other endless things which you can do during stay in hostel which you can not do as a day scholar. Thank you ",0.9858,Positive,5,0.010869565217391304,0,5
83,83,Indian-Institute-of-Technology-Bombay-IITB,What should I prefer in IIT's hostel life or day scholar?,1,3,1/3,No,Followed,2020-07-05,/What-should-I-prefer-in-IITs-hostel-life-or-day-scholar,"Hostel life, without a doubt. Where else on this planet can you make friends that start meaning as much as family to you for the rest of your life. If I were to choose one thing about my time at IIT that I want back, it’s not the brilliant courses or honors, awards, international trips, or anything “glam”. It’s 3am chatter with friends over Oreo Milkshake in my hostel’s night canteen. Do not miss it! ",0.9113,Positive,5,0.010869565217391304,0,5
84,84,Indian-Institute-of-Technology-Bombay-IITB,Has anyone left IIT even after qualifying?,4,1,4/1,Yes,Followed,2020-07-05,/Has-anyone-left-IIT-even-after-qualifying,"Yes I myself left IIT even after qualifying. So last year after cracking JEE Mains and Advanced with a decent rank I filled up the JOSAA preferences with keeping IIT Bombay CSE as my first preference(LOL). As I had secured AIR-6534 so the chance of getting a good branch in decent IIT was bleak. In the first round I was allotted IIT Patna Mechanical which remained unchanged in few more rounds and finally in 6th round I got IIT BHU Civil. As I had other college option I was quite confused and after talking to various seniors from college options available which only made me more confused and finally with a very heavy heart I decided to surrender the seat allotted because I wanted an circuital branch. I finally joined Electronics and Instrumentation in BITS Pilani, Pilani campus and I am still waiting to see whether my decision was correct or not which I guess I will get the answer 5–10 years down the lane. I hope I took a right decision but nevertheless I will always be proud of being a BITSIAN… ",0.9008,Positive,5,0.043478260869565216,1,5
85,85,Indian-Institute-of-Technology-Bombay-IITB,Sir if someone is elligible for both IIT Bombay Engineering Physics and IISc Bengaluru where should he join?,1,2,1/2,No,Followed,2020-07-04,/Sir-if-someone-is-elligible-for-both-IIT-Bombay-Engineering-Physics-and-IISc-Bengaluru-where-should-he-join,"Well , we all know IISc is the best Institute in India based on NIRF Ranking 2020. But IISc is not Only a Science Institution , they also provide Engineering programs with decent placements outcomes and in this year ranking of IIT Bombay is far behind the IISc so without any dual thinking join IISc ( Indian Institute Of Science ). Best wishes for your bright future ahead.. ",0.9552,Positive,5,0.010869565217391304,0,5
86,86,Indian-Institute-of-Technology-Bombay-IITB,Sir if someone is elligible for both IIT Bombay Engineering Physics and IISc Bengaluru where should he join?,1,2,1/2,No,Followed,2020-07-04,/Sir-if-someone-is-elligible-for-both-IIT-Bombay-Engineering-Physics-and-IISc-Bengaluru-where-should-he-join,"For Engineering Physics, IISc must be preferred without any doubt. ",0.2755,Positive,4,0.010869565217391304,0,4
87,87,Indian-Institute-of-Technology-Bombay-IITB,"Sir, is transportation division in IIT-B is exclusively for planning or does it includes pavement & traffic also?",0,1,0/1,No,Requested,2020-07-04,/Sir-is-transportation-division-in-IIT-B-is-exclusively-for-planning-or-does-it-includes-pavement-traffic-also,"Thanks for the A2A. Going by the number of courses, the emphasis is on Transportation Planning followed by Traffic Engineering, followed by Pavement & Highway. These are a list of courses offered by IIT-B for MTech in Transportation Systems Engineering. Urban Transportation Systems PlanningTraffic EngineeringPavement Systems EngineeringAdvanced Pavement Engineering LabTransportation Systems StudioThey have an exciting list of electives as well. Based on which aspect of Transportation you like, you can choose. Electives availability keeps changing, but here is a comprehensive list of electives offered by the department Applied StatisticsAnalysis of Transportation SystemsBehavioural travel modellingOptimization in Civil EngineeringPavement materialsAdvanced Highway Design and AnalysisTraffic Management and DesignTransportation Project Evaluation and Decision MakingAirport planning and designFundamentals of Urban Science & EngineeringThere is active research and faculties for all the sections on Transportation. When I was doing my MTech, the final year project and the researches included various aspects of Transportation Engineering Transportation Planning - Ex. Planning of Public Transportation like MetroTraffic Safety - Ex. How can we avoid accidentsTraffic Analysis - Ex. Capacity, headway, at intersections and so onHighway Design - Ex. How can we design horizontal curves, and what happens to the vehicle speedsPavement Materials -Ex. Bitumen PropertiesHope this clarifies your question. ",0.9544,Positive,5,0.0,0,5
88,88,Indian-Institute-of-Technology-Bombay-IITB,What is the highest package for a software developer in IIT Bombay?,1,1,1/1,No,Followed,2020-07-03,/What-is-the-highest-package-for-a-software-developer-in-IIT-Bombay,"This correct answer is in Indian context: This question is meaningless because NEGLIGIBLE graduate(Less than 1%) from any Indian engineering college are recruited for software development works because Indian engineering curriculum is 40 years old. None of the known tech companies of the world like Facebook, Google, Microsoft, Amazon, Facebook have their engineering offices in India.  Most of the students from such popular Indian engineering collegespractice computer programming, to become a computer engineer(5–50 LPA, depending on the skills). These companies are not interested in academic credentials, but are concerned only about the TopCoder and GitHub profiles of the job applicants.become managers in the industry, based on luck and on personal leaning(5–15 LPA, depending on the luck). These companies depend heavily on the previous academic credentials of the job applicants, from a college. Praveen Kumar Singh's answer to How do I apply for an internship at Microsoft (India Development Center)? I want to apply off-campus, as Microsoft does not visit our campus for internships or recruitment. ",0.8711,Positive,5,0.010869565217391304,0,5
89,89,Indian-Institute-of-Technology-Bombay-IITB,How is the life of female IITians?,9,1,9/1,Yes,Followed,2020-07-04,/How-is-the-life-of-female-IITians,Very good ,0.4927,Positive,4,0.09782608695652174,1,5
